Metric Label,Unit,Metric Ref,Components,Terms,Complexity,Definition,Metric Expression,Periods,Dims,Business Model(s),Buying Model(s),Set(s),Theme,Source System(s),Owning Team(s),Watching Team(s)
Paid Social Reach,n,PaidSocReach,,,Atomic,The count of unique individuals who saw any promoted/sponsored social media post during the period. Note: individuals may be double-counted across social media platforms.,,"Week, Month, Quarter",Social Plat[Form Dims]; Campaign; [Ad Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Demand Generation,Social,Social Media; CRM,Marketing,
Social Media Сlicks,n,SocMediaClicks,,,Atomic,The count of clicks on links in social posts during the period that directed to company-owned websites.,,"Week, Month, Quarter",Social Plat[Form Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Demand Generation,Social,Social Media,Marketing,
Clicks Per Social Post,r,ClicksPerSocPost,SocMediaClicks; SocPosts,,Composite,The ratio of Social Media Clicks against Social Posts.,{SocMediaClicksₜ} / {SocPostsₜ},"Week, Month, Quarter",Social Plat[Form Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Demand Generation,Social,Social Media,Marketing,
Reach Per Social Post,r,ReachPerSocPost,SocReach; SocPosts,,Composite,The ratio of Social Reach against Social Posts.,{SocReachₜ} / {SocPostsₜ},"Week, Month, Quarter",Social Plat[Form Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Demand Generation,Social,Social Media,Marketing,
Social Impressions,n,SocImps,,,Atomic,The count of impressions that social media posts received in the period.,,"Week, Month, Quarter",Social Plat[Form Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Demand Generation,Social,Social Media; CRM,Marketing,
Organic Social Impressions,n,OrgSocImps,,,Atomic,The count of impressions on non-promoted social posts during the period.,,"Week, Month, Quarter",Social Plat[Form Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Demand Generation,Social,Social Media,Marketing,
Paid Social Impressions,n,PaidSocImps,,,Atomic,The count of impressions on promoted/sponsored social posts during the period.,,"Week, Month, Quarter",Social Plat[Form Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Demand Generation,Social,Social Media; CRM,Marketing,
Impressions Per Social Post,r,ImpsPerSocPost,SocImps; SocPosts,,Composite,The ratio of Social Impressions against Social Posts published in the period.,{SocImpsₜ} / {SocPostsₜ},"Week, Month, Quarter",Social Plat[Form Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Demand Generation,Social,Social Media,Marketing,
Social CPM,$,SocCPM,PaidSocSpend; PaidSocImps,,Composite,The ratio of Digital Ad Spend against Ad Impressions (divided by 1000).,({PaidSocSpendₜ} / {PaidSocImpsₜ}) * 1000,"Week, Month, Quarter",Social Plat[Form Dims]; Campaign; [Ad Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Demand Generation,Social,Social Media,Marketing,Finance
New Suspects,n,NewSusps,,Suspects,Atomic,"The count of new Suspects generated during the period through offline (e.g. events), digital marketing (e.g. performance advertising; organic search), list buying, or cold email/phone outreach.",,"Week, Month, Quarter",[Lead Touches Dims],B2B SaaS,Enterprise; Hybrid,Demand Generation,Leads,CRM; Marketing Automation,Sales Development,Marketing
Total Suspects,n,Susps,,Suspects,Atomic,The count of Suspects as of the beginning of the period.,,"Week, Month, Quarter",[Lead Touches Dims],B2B SaaS,Enterprise; Hybrid,Demand Generation,Leads,CRM; Marketing Automation,Sales Development,Marketing
New Prospects,n,NewProsps,,Prospects,Atomic,"The count of Prospects (freq. ""Marketing Qualified Leads"") generated in the period.",,"Week, Month, Quarter",[Lead Touches Dims],B2B SaaS,Enterprise; Hybrid,Demand Generation,Leads,CRM; Marketing Automation,Sales Development,Marketing
Suspect Conversion Rate,%,SuspConvRate,,Suspects; Prospects,Atomic,The percent of the New Suspects generated in the period that subsequently became Prospects.,,"Week, Month, Quarter",[Lead Touches Dims],B2B SaaS,Enterprise; Hybrid,Demand Generation,Leads,CRM; Marketing Automation,Sales Development,Marketing
Lead Velocity Rate,%,LeadVelRate,NewProsps; NewProsps,,Composite,The rate of growth in New Prospects from the prior period to the current period.,({NewProspsₜ} - {NewProspsₜ₋₁}) / {NewProspsₜ₋₁},"Week, Month, Quarter",[Contact Dims]; [Lead Touches Dims],B2B SaaS,Enterprise; Hybrid,Demand Generation,Leads,CRM; Marketing Automation,Sales Development,Marketing
New Email Unsubscribes,#,NewEmailUnsubs,,,Atomic,The count of contacts who unsubscribed during the period from all future marketing emails.,,"Week, Month, Quarter",[Contact Dims]; Campaign,B2B SaaS,Enterprise; Self-Serve; Hybrid,Demand Generation,Email,Email Marketing; CRM,Marketing,
Email Unsubscribe Rate,%,EmailUnsubRate,,,Atomic,The ratio of Email Unsubscribers against Total Email Subscribers.,{NewEmailUnsubsₜ} / {MktblEmailCtctsₜ},"Week, Month, Quarter",[Contact Dims]; Campaign,B2B SaaS,Enterprise; Self-Serve; Hybrid,Demand Generation,Email,Email Marketing; CRM,Marketing,
Spam Complaints,n,SpamCompls,,,Atomic,The count of emails delivered to contacts in the period that were marked as spam by their recipients.,,"Week, Month, Quarter",[Contact Dims]; Campaign,B2B SaaS,Enterprise; Self-Serve; Hybrid,Demand Generation,Email,Email Marketing; CRM,Marketing,
Spam Complaint Rate,%,SpamComplRate,,,Atomic,The percent of emails delivered to contacts during the period that received spam complaints.,,"Week, Month, Quarter",[Contact Dims]; Campaign,B2B SaaS,Enterprise; Self-Serve; Hybrid,Demand Generation,Email,Email Marketing; CRM,Marketing,
Social Unfollows,n,SocUnfollows,,,Atomic,The count of social media unfollows during the period.,,"Week, Month, Quarter",[Contact Dims]; Campaign,B2B SaaS,Enterprise; Self-Serve; Hybrid,Demand Generation,Social,Social Media; CRM,Marketing,
Social Followers Churn Rate,%,SocFollChurnRate,SocUnfollows; SocFollw,,Composite,The ratio of Social Unfollows against Social Followers.,{SocUnfollowsₜ} / {SocFollwₜ},"Week, Month, Quarter",[Contact Dims]; Campaign,B2B SaaS,Enterprise; Self-Serve; Hybrid,Demand Generation,Social,Social Media; CRM,Marketing,
New Sales Accepted Leads,n,NewSalesAcceptLeads,,Suspects,Atomic,The count of Suspects that have been accepted in the period by SDRs or AEs as worthy of being engaged.,,"Week, Month, Quarter",[Contact Dims]; Marketing Touches Dims,B2B SaaS,Enterprise; Hybrid,Demand Generation,Leads,CRM,Sales Development,Marketing
Lead Acceptance Rate,%,LeadAcceptRate,,Suspects; Sales Accepted Leads,Atomic,The percent of the New Suspects generated in the period that subsequently become Sales Accepted Leads.,,"Week, Month, Quarter",[Contact Dims]; Marketing Touches Dims,B2B SaaS,Enterprise; Hybrid,Demand Generation,Leads,CRM,Marketing,Sales Development
Disqualified Leads,n,DisqualLeads,,Marketing-Generated Prospects,Atomic,The count of Marketing-Generated Prospects generated in the period that have been disqualified by SDRs or AEs.,,"Week, Month, Quarter",[Contact Dims]; Marketing Touches Dims,B2B SaaS,Enterprise; Hybrid,Demand Generation,Leads,CRM,Marketing,Sales Development
Sales Qualified Leads,n,SQLs,,Prospects; Booked Meeting,Atomic,"The count of Prospects that have been vetted during the period by SDRs or AEs and deemed qualified to advance in the sales process based on fit, interest, budget, and sales readiness. Typically, but not always, this corresponds to the scheduling of a demo or intake call with an Account Executive (a Booked Meeting).",,"Week, Month, Quarter",[Contact Dims]; Marketing Touches Dims,B2B SaaS,Enterprise; Hybrid,Demand Generation,Leads,CRM,Sales Development,Marketing; Sales
Sales Qualification Rate,%,SalesQualRate,,Sales Accepted Leads; New Business Opportunities,Atomic,The percent of Sales Accepted Leads generated in the period that subsequently converted into New Opportunities.,,"Week, Month, Quarter",[Contact Dims]; Marketing Touches Dims,B2B SaaS,Enterprise; Hybrid,Demand Generation,Leads,CRM,Sales Development,Marketing; Sales
Marketing-Influenced SQL,n,MktInflSQLs,,Sales Qualified Leads; Marketing Campaign,Atomic,The count of Sales Qualified Leads in the period that received Marketing Campaign touchpoints before converting.,,"Week, Month, Quarter",,B2B SaaS,Enterprise; Hybrid,Demand Generation,Leads,CRM; Marketing Automation,Marketing,Sales Development; Sales
Prospect Qualification Rate,%,ProspQualRate,,Prospects; Sales Qualified Leads,Atomic,The percent of the New Prospects generated in the period that subsequently converted into Sales Qualified Leads.,,"Week, Month, Quarter",[Contact Dims]; Marketing Touches Dims,B2B SaaS,Enterprise; Hybrid,Demand Generation,Leads,CRM; Marketing Automation,Sales Development,Marketing; Sales
Open Prospects,n,OpenProsps,,Prospects,Atomic,The count of Prospects that have been assigned and are ready to be worked or are actively being worked by SDRs as of the beginning of the period.,,"Week, Month, Quarter",[Contact Dims]; Marketing Touches Dims,B2B SaaS,Enterprise; Hybrid,Demand Generation,Leads,CRM,Sales Development,Sales; Marketing
Pipeline ROAS,$,PipeROAS,AdGenPipe; AdSpend,,Composite,The ratio of Advertising-Generated Pipeline against Ad Spend.,{AdGenPipeₜ} / {AdSpendₜ},"Month, Quarter",Campaign; [Ad Dims]; [Opportunity Dims],B2B SaaS,Enterprise; Hybrid,Demand Generation; Financials,Capital Efficiency,CRM,Marketing,Finance
Marketing-Generated Prospects,n,MktGenProsps,,Prospects; Marketing Campaign Touchpoints,Atomic,The count of Prospects generated in the period that originated from Marketing Campaign touchpoints.,,"Week, Month, Quarter",Campaign; [Ad Dims]; [Opportunity Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,,,CRM; Marketing Automation,Marketing,Sales Development; Sales
Marketing-Generated Pipeline,$,MktGenPipe,,Pipeline Value; New Business Opportunities,Atomic,The sum of Pipeline Value across New Business Opportunities opened in the period that originated from Marketing-Generated Prospects.,,"Week, Month, Quarter",Campaign; [Ad Dims]; [Opportunity Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Demand Generation,Leads,CRM; Marketing Automation,Marketing,Sales Development; Sales; Finance
Advertising-Generated Pipeline,$,AdGenPipe,,Pipeline Value; New Business Opportunities,Atomic,The sum of Pipeline Value across New Business Opportunities qualified in the period that were generated by paid advertising.,,"Week, Month, Quarter",Campaign; [Ad Dims]; [Opportunity Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Demand Generation,Leads,CRM; Marketing Automation,Marketing,Finance
Marketing-Influenced Pipeline,$,MktInflPipe,,Pipeline Value; New Business Opportunities; Marketing Campaign Touchpoints,Atomic,The sum of Pipeline Value across Opened New Business Opportunities in the period with associated contacts that had previously received Marketing Campaign Touchpoints.,,"Week, Month, Quarter",,B2B SaaS,Enterprise; Hybrid,Demand Generation,Leads,CRM; Marketing Automation,Marketing,Sales Development; Sales; Finance
Signups,n,Signups,,Website Visitors; Web Form,Atomic,The count of Website Visitors who provided contact information on a Web Form during the period.,,"Week, Month, Quarter",[Form Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Interest; Demand Generation,Forms & Signups; Website,CRM; Proprietary Applications; CMS,Marketing,Sales Development; Sales
Sessions-to-Convert,n,SessToConv,,Website Visitors; Signups,Atomic,"The number of Website Sessions a Website Visitor completes prior to their first Signup, for visitors who first signed up in the period.",,"Week, Month, Quarter",[Lead Touches Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Interest; Demand Generation,Website,CRM,Marketing,
Site Conversion Rate,%,SiteConvRate,,Website Visitors; Signups,Atomic,The percent of Website Visitors in the period that also converted to a Signup activity in the period.,,"Week, Month, Quarter",,B2B SaaS,Enterprise; Self-Serve; Hybrid,Interest; Demand Generation,Website,CRM,Marketing,
Form Views,n,FormViews,,Website Visitors; Web Form,Atomic,The count of Website Visitors that viewed a Web Form during the period.,,"Week, Month, Quarter",[Form Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Interest,Forms & Signups,Forms/Survey; CRM,Marketing,
Form Interactions,n,FormInteracts,,,Atomic,"The count of Form Views in the period associated with at least one click, field focus, field entry, or submission.",,"Week, Month, Quarter",[Form Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Interest,Forms & Signups,Forms/Survey; CRM,Marketing,
Form Completions,n,FormCompletes,,Web Form,Atomic,The count of unique Web Form submissions during the period.,,"Week, Month, Quarter",[Form Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Interest,Forms & Signups,Forms/Survey; CRM,Marketing,
New Trials,n,NewTrials,,Trials,Atomic,The count of Trials that began in the period.,,"Week, Month, Quarter",[Trial Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Interest,Forms & Signups,CRM; Product Usage,Product,Marketing; Sales
New Trial Users,n,NewTrialUsers,,Trial Users,Atomic,The count of new Trial user accounts created during the period.,,"Week, Month, Quarter",[User Dims]; [Customer Dims]; [Subscription Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Interest,Forms & Signups,CRM; Product Usage,Product,Marketing; Sales
True Trials,n,TrueTrials,,Trials,Atomic,The count of New Trials in the period that met a minimum level of engagement to indicate the Trial represents an intentional and legitimate commercial interest.,,"Week, Month, Quarter",[Trial Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Interest,Forms & Signups,CRM; Product Usage,Product,Marketing; Sales
True Share of Trials,%,TrueShareTrials,,New Trials; True Trials,Atomic,The share of New Trials in the period that were True Trials.,,"Week, Month, Quarter",[Trial Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Interest,Forms & Signups,CRM; Product Usage,Product,Marketing; Sales
Archived Prospect,n,ArchivProsp,,Prospects,Atomic,The count of Prospects that have been archived in the period as inactive or unable to be reached.,,"Week, Month, Quarter",[Contact Dims]; Marketing Touches Dims,B2B SaaS,Enterprise; Hybrid,Interest,Forms & Signups,CRM,Marketing,Sales Development
Open Sales Accepted Leads,n,OpenSalesAcceptLeads,,Sales Accepted Leads,Atomic,The count of Sales Accepted Leads that are actively being worked as of the beginning of the period.,,"Week, Month, Quarter",[Contact Dims]; Marketing Touches Dims,B2B SaaS,Enterprise; Hybrid,Interest,Forms & Signups,CRM,Sales Development,Marketing; Sales
Active SDRs,n,ActiveSDRs,,,Atomic,The count of SDRs employed and onboarded as of the beginning of the period.,,"Week, Month, Quarter",,B2B SaaS,Enterprise; Hybrid,Interest,Lead Development,CRM,Sales Development,Sales; Marketing
Active AEs,n,ActiveAEs,,,Atomic,The count of AEs employed and onboarded as of the beginning of the period.,,"Month, Quarter",,B2B SaaS,Enterprise; Hybrid,Interest,Lead Development,CRM,Sales,Finance
Ramped AEs,n,RampedAEs,,,Atomic,"The count of AEs considered ""ramped"" as of the beginning of the period.",,"Month, Quarter",,B2B SaaS,Enterprise; Hybrid,Interest,Lead Development,CRM,Sales,Finance
Time To Lead Response,min,TimeLeadResp,,Prospect,Atomic,The average number of minutes between when a new Prospect is generated and when an SDR makes their first non-automated outbound contact attempt to that Prospect.,,"Week, Month, Quarter",,B2B SaaS,Enterprise; Hybrid,Interest,Lead Development,CRM,Sales Development,Marketing
SDR Utilization Ratio,r,SDRUtilRatio,OpenProsps; ActiveSDRs,,Composite,The ratio of Open Prospects against Active SDRs.,{OpenProspsₜ} / {ActiveSDRsₜ},"Week, Month, Quarter",,B2B SaaS,Enterprise; Hybrid,Interest,Lead Development,CRM,Sales Development,Finance; Marketing; Sales
SDR Productivity,n,SDRPro,BookMeetings; ActiveSDRs,,Composite,The average number of Booked Meetings per SDRs during the period.,{BookMeetingsₜ} / {ActiveSDRsₜ},"Week, Month, Quarter",,B2B SaaS,Enterprise; Hybrid,Interest,Lead Development,CRM,Sales Development,Marketing; Sales
SDR Calls,n,SDRCalls,,,Atomic,The count of outbound calls initiated and inbound calls fielded by SDRs during the period.,,"Week, Month, Quarter",[Contact Dims]; [Lead Touches Dims],B2B SaaS,Enterprise; Hybrid,Interest,Lead Development,CRM; VoIP & Unified Communications,Sales Development,
SDR Outbound Messages,n,SDROutbounds,,,Atomic,"The count of outbound messages (email, SMS, InMail, etc) manually sent by SDRs during the period.",,"Week, Month, Quarter",[Contact Dims]; [Lead Touches Dims],B2B SaaS,Enterprise; Hybrid,Interest,Lead Development,CRM; Email Marketing; Transactional Email,Sales Development,
SDR Talk Time,min,SDRTalkTime,,,Atomic,"The amount of total connected talk time, in minutes, between SDRs and Prospects during the period.",,"Week, Month, Quarter",[Contact Dims]; [Lead Touches Dims],B2B SaaS,Enterprise; Hybrid,Interest,Lead Development,CRM; VoIP & Unified Communications,Sales Development,
SDR Connected Conversations,n,SDRConnectConvos,,Prospects,Atomic,The count of live conversations/connections between SDRs and Prospects during the period.,,"Week, Month, Quarter",[Contact Dims]; [Lead Touches Dims],B2B SaaS,Enterprise; Hybrid,Interest,Lead Development,CRM; VoIP & Unified Communications,Sales Development,
SDR Quality Conversations,n,SDRQualConvos,,,Atomic,The count of Connected Conversations in the period where at least one piece of qualifying or disqualifying information is learned.,,"Week, Month, Quarter",[Contact Dims]; [Lead Touches Dims],B2B SaaS,Enterprise; Hybrid,Interest,Lead Development,CRM; VoIP & Unified Communications,Sales Development,
Attempts per QC,n,AttemptsPerQualConvo,,Qualified Conversations,Atomic,The average number of touchpoints from SDRs prior to Qualified Conversations in the period.,,"Week, Month, Quarter",[Contact Dims]; [Lead Touches Dims],B2B SaaS,Enterprise; Hybrid,Interest,Lead Development,CRM; VoIP & Unified Communications,Sales Development,
Advertising-Generated Pipeline,$,MktInflPipe,,Pipeline Value; New Business Opportunities,Atomic,The sum of Pipeline Value across New Business Opportunities opened in the period and with primary contacts sourced from advertising campaigns.,,"Month, Quarter",[Ad Dims]; Campaign; [Opportunity Dims],B2B SaaS,Enterprise; Hybrid,Demand Generation,Leads,CRM; Marketing Automation,Marketing,Finance
SDR-Sourced Pipeline,$,SDRSrcPipe,,Pipeline Value; New Business Opportunities,Atomic,The sum of Pipeline Value across New Business Opportunities opened in the period and sourced by SDRs.,,"Week, Month, Quarter",[Opportunity Dims],B2B SaaS,Enterprise; Hybrid,Interest,Lead Development,CRM,Sales Development,Sales
Booked Meetings,n,BookMeetings,,"Introductory Meetings, Semi-Qualified Opportunities, or Fully-Qualified Opportunities",Atomic,"The count of future meetings between AEs and Prospects that were booked in the period by SDRs. These meetings can represent Introductory Meetings, Semi-Qualified Opportunities, or Fully-Qualified Opportunities.",,"Week, Month, Quarter",[Contact Dims]; [Lead Touches Dims],B2B SaaS,Enterprise; Hybrid,Interest,Lead Development,CRM; Collaboration & Productivity,Sales Development,Sales
Qualified Meetings,n,QualMeetings,,Booked Meetings,Atomic,The count of Booked Meetings that were completed in the period and met the qualification standards of the AE organization.,,"Week, Month, Quarter",[Contact Dims]; [Lead Touches Dims],B2B SaaS,Enterprise; Hybrid,Interest,Lead Development,CRM; Collaboration & Productivity,Sales Development,Sales
Calls Per Booked Meeting,n,CallsPerBookMeet,,Booked Meeting,Atomic,The average number of historical SDR Calls associated with each Booked Meeting in the period.,,"Week, Month, Quarter",[Contact Dims],B2B SaaS,Enterprise; Hybrid,Interest,Lead Development,CRM; VoIP & Unified Communications,Sales Development,
Emails Per Booked Meeting,n,EmailsPerBookMeet,,Booked Meeting; SDR Outbound Messages,Atomic,The average number of historical manually sent SDR Outbound Messages associated with each Booked Meeting in the period.,,"Week, Month, Quarter",[Contact Dims],B2B SaaS,Enterprise; Hybrid,Interest,Lead Development,CRM; Email Marketing; Transactional Email,Sales Development,
Talk Time Per Booked Meeting,n,TalkTimePerBookMeet,,Booked Meeting,Atomic,The average number of historical minutes of SDR Talk Time associated with each Booked Meeting in the period.,,"Week, Month, Quarter",[Contact Dims],B2B SaaS,Enterprise; Hybrid,Interest,Lead Development,CRM; VoIP & Unified Communications,Sales Development,
Touches Per Booked Meeting,n,TouchPerBookMeet,,Touchpoints,Atomic,The average number of touchpoints from SDRs associated with each Booked Meeting in the period.,,"Week, Month, Quarter",[Contact Dims]; [Lead Touches Dims],B2B SaaS,Enterprise; Hybrid,Interest,Lead Development,CRM,Sales Development,
Touches Per Archived Prospect,n,TouchPerArchProsp,,Touchpoints,Atomic,The average number of touchpoints from SDRs per Archived Prospect in the period. ,,"Week, Month, Quarter",[Contact Dims]; [Lead Touches Dims],B2B SaaS,Enterprise; Hybrid,Interest,Lead Development,CRM,Sales Development,
Prospect Coverage,%,ProspCovge,,Open Prospects,Atomic,"The share of Open Prospects that received manual activity (Calls, Talk Time, or Emails) in the period.",,"Week, Month, Quarter",,B2B SaaS,Enterprise; Hybrid,Interest,Lead Development,CRM,Sales Development,Marketing
SDRs Quota Attainment,%,SDRQuotaAttain,,,Atomic,The share of Active SDRs that performed at or above quota during the period.,,Month,,B2B SaaS,Enterprise; Hybrid,Interest,Lead Development,CRM,Sales Development,Finance
SDR Meeting Quota,n,SDRMeetingQuota,,New Business Opportunities,Atomic,The number of New Business Opportunities that SDRs are expected to generate in the period towards sales pipeline.,,"Week, Month, Quarter",,B2B SaaS,Enterprise; Hybrid,Interest,Lead Development,CRM,Sales Development,Finance
Starting Active Trials,n,StartingActiveTrials,,New Trials,Atomic,The count of Trials that are active and unexpired as of the beginning of the period.,,"Week, Month, Quarter",[Trial Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Evaluation,Product Usage; Trials,CRM; Product Usage,Product,Marketing; Sales
In-Period Active Trials,n,InPdActiveTrials,,New Trials,Atomic,The count of Trials that are active and unexpired at any point during the period.,,"Week, Month, Quarter",[Trial Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Evaluation,Product Usage; Trials,CRM; Product Usage,Product,Marketing; Sales
Time to Trial Activation,days,TimeTrialActiv,,New Trials; Trial Activation,Atomic,"The average number of days between the beginning of a New Trial and that Trial ""activating"", for all trial activations in the period.",,"Week, Month, Quarter",[Trial Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Evaluation,Trials,CRM; Product Usage,Product,Marketing; Sales
Timely Trial Activation,%,TimelyTrialActiv,,Trial Activation; New Trials,Atomic,The percent of Activated Trials that Activated within a target number of days from the beginning of the Trial.,,"Week, Month, Quarter",[Trial Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Evaluation,Trials,CRM; Product Usage,Product,Marketing; Sales
Product Qualified Accounts,n,PQAccts,,Free Accounts,Atomic,"The count of Free Accounts that have, in the period, exhibited a critical level of intentionality, fit, and product usage to be classified as likely to convert, and warrant Sales intervention to enable that conversion.",,"Week, Month, Quarter",[Trial Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Evaluation,Trials,CRM; Product Usage,Product,Marketing; Sales
Product Qualified Leads,n,PQLs,,Free Users,Atomic,"The count of Free Users who have, in the period, exhibited a critical level of intentionality, fit, and product usage to be classified as likely to convert, and warrant Sales intervention to enable that conversion.",,"Week, Month, Quarter",[Trial Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Evaluation,Trials,CRM; Product Usage,Product,Marketing; Sales
Trial to PQL Rate,%,TrialToPQLRate,,New Trials; Product Qualified Lead,Atomic,The percent of New Trials that began in the period that subsequently drove at least one Product Qualified Lead.,,"Week, Month, Quarter",[Trial Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Evaluation,Trials,CRM; Product Usage,Product,Marketing; Sales
Opened New Business Opportunities,n,OpenNewBizOpps,,New Business Opportunities,Atomic,The count of New Business Opportunities opened in the period.,,Week; Month; Quarter,[Opportunity Dims],B2B SaaS,Enterprise; Hybrid,Evaluation,Opportunities,CRM,Sales,Marketing; Sales Development
Accepted Opportunities,n,AcceptOpps,,New Business Opportunities,Atomic,The count of New Business Opportunities opened in the period that were subsequently accepted by AEs as worthy of being engaged.,,Week; Month; Quarter,[Opportunity Dims],B2B SaaS,Enterprise; Hybrid,Evaluation,Opportunities,CRM,Sales,Sales Development
Opened to Accepted Opportunity Rate,%,OpenToAcceptOppRate,,New Business Opportunities,Atomic,The percent of New Business Opportunities opened in the period that were subsequently accepted by AEs to be worked.,,Month; Quarter,[Opportunity Dims],B2B SaaS,Enterprise; Hybrid,Evaluation,Opportunities,CRM,Sales,Sales Development
Discovery Complete New Business Opportunities,n,DiscCompNewBizOpps,,New Business Opportunities,Atomic,The count of New Business Opportunities for which the discovery process/needs analysis were completed during the period.,,Week; Month; Quarter,[Opportunity Dims],B2B SaaS,Enterprise; Hybrid,Evaluation,Opportunities,CRM,Sales,
Time to Discovery Complete New Business,days,TimeDiscCompNewBiz,,New Business Opportunities,Atomic,"The average number of days between New Business Opportunities being opened and those opportunities completing the discovery process/needs analysis, for opportunities that completed discovery in the period.",,Month; Quarter,[Opportunity Dims],B2B SaaS,Enterprise; Hybrid,Evaluation,Opportunities,CRM,Sales,
Scheduled New Business Demos,n,SchedNewBizDemos,,New Business Opportunities,Atomic,"The count of New Business Opportunities for which the product demo was first scheduled during the period. If there are multiple demos associated with the Opportunity, this metric considers only the first scheduled demo.",,Week; Month; Quarter,[Opportunity Dims],B2B SaaS,Enterprise; Hybrid,Evaluation,Opportunities,CRM; Video Conferencing,Sales,Sales Development
Completed New Business Demos,n,CompNewBizDemos,,New Business Opportunities,Atomic,"The count of New Business Opportunities for which product demos were first completed during the period. If there are multiple demos associated with the Opportunity, this metric considers only the first completed demo.",,Week; Month; Quarter,[Opportunity Dims],B2B SaaS,Enterprise; Hybrid,Evaluation,Opportunities,CRM; Video Conferencing,Sales,Sales Development
Completed New Business Demo Rate,%,CompNewBizDemoRate,CompNewBizDemos; SchedNewBizDemos,New Business Opportunities,Composite,The ratio of Completed New Business Demos against Scheduled New Business Demos in the period.,{CompNewBizDemosₜ} / {SchedNewBizDemosₜ},Week; Month; Quarter,[Opportunity Dims],B2B SaaS,Enterprise; Hybrid,Evaluation,Opportunities,CRM,Sales,Sales Development
Sent New Business Opportunity Proposals,n,SentNewBizProp,,New Business Opportunities,Atomic,The count of New Business Opportunities that were sent initial contract proposals in the period.,,Week; Month; Quarter,[Opportunity Dims],B2B SaaS,Enterprise; Hybrid,Evaluation,Opportunities,CRM; Proposal Management,Sales,
Time to Sent New Business Proposal,days,TimeSentNewBizProp,,New Business Opportunities,Atomic,"The average number of days between the opening of New Business Opportunities and initial contract proposals being sent for those Opportunities, for initial contract proposals sent in the period.",,Month; Quarter,[Opportunity Dims],B2B SaaS,Enterprise; Hybrid,Evaluation,Opportunities,CRM,Sales,
Lost New Business Deals,n,LostNewBizDeals,,New Business Opportunities,Atomic,The count of New Business Opportunities that have been lost in the period.,,Week; Month; Quarter,[Opportunity Dims],B2B SaaS,Enterprise; Hybrid,Evaluation,Opportunities,CRM,Sales,
Closed New Business Opportunities,n,ClosedNewBizOpps,,New Business Opportunities,Atomic,The count of New Business Opportunities that have been closed in the period as either won or lost.,,"Week, Month, Quarter",[Opportunity Dims],B2B SaaS,Enterprise; Hybrid,Evaluation,Opportunities,CRM,Sales,
New Business Opportunity Win Rate,%,NewBizOppWinRate,NewBizDeals; ClosedNewBizOpps,,Composite,The ratio of Won New Business Deals against Closed New Business Opportunities.,{NewBizDealsₜ} / {ClosedNewBizOppsₜ},Month; Quarter,[Opportunity Dims],B2B SaaS,Enterprise; Hybrid,Evaluation,Opportunities,CRM,Sales,
New Business Opportunity Close Rate,%,NewBizOppCloseRate,,New Business Opportunities; New Business Deals,Atomic,The percent of New Business Opportunities opened in the period that subsequently became New Business Deals.,,Month; Quarter,[Opportunity Dims],B2B SaaS,Enterprise; Hybrid,Evaluation,Opportunities,CRM,Sales,
New Business Opportunity Sales Cycle,days,NewBizOppSalesCycle,,New Business Deals,Atomic,"The average number of days between the opening of New Business Opportunities and when those Opportunities are succesfully won, for New Business Opportunities won in the period.",,Month; Quarter,[Opportunity Dims],B2B SaaS,Enterprise; Hybrid,Evaluation,Opportunities,CRM,Sales,
Average Opportunity Age,n,AvgOppAge,,New Business Opportunities,Atomic,"The average age, in days, of open New Business Opportunities, as of the beginning of the period.",,Week; Month; Quarter,[Opportunity Dims],B2B SaaS,Enterprise; Hybrid,Evaluation,Opportunities,CRM,Sales,
